*Este fichero CSV incluye la informaciÃÄḂn agregada por dÃÂ­a de los casos de COVID-19 diagnosticados, hospitalizados, ingresados en UCIs y fallecidos notificados a la Red Nacional de Vigilancia EpidemiolÃÄḂgica desde el 1 de enero de 2020 y desagregados por Comunidad AutÃÄḂnoma de declaraciÃÄḂn.
*No se dispone de fecha de diagnÃÄḂstico para 9.138 casos, de fecha de hospitalizaciÃÄḂn de 11.572 hospitalizados, de fecha de ingreso en UCI de 1.752 casos ingresados en UCI y de fecha de fallecimiento de 408 fallecidos. 
*Estos datos incluyen casos diagnosticados retrospectivamente al inicio de la epidemia.
*Los anÃáẁlisis realizados con los datos incluidos en este CSV pueden dar resultados marginalmente diferentes a los anÃáẁlisis realizados por los servicios de vigilancia de la Red Nacional de Vigilancia EpidemiolÃÄḂgica que pueden incluir los casos con fechas faltantes imputÃáẁndoles fechas estimadas alternativas y pueden utilizar para algunos anÃáẁlisis agregaciones temporales utilizando otras fechas asociadas a los casos (p.e.: fecha de inicio de sÃÂ­ntomas). 
*Estos datos se actualizarÃáẁn diariamente con la informaciÃÄḂn recibida de las Comunidades AutÃÄḂnomas.

CCAA_ISO;Fecha;Casos_Diagnosticados;Hospitalizados;UCI;Fallecidos
ES-IB;08-07-2020;5;0;0;0
ES-MC;08-07-2020;11;0;0;0
ES-MD;08-07-2020;49;5;0;0
ES-NC;08-07-2020;4;1;0;0
ES-PV;08-07-2020;38;0;0;0
ES-RI;08-07-2020;1;0;0;0
ES-VC;08-07-2020;20;0;0;0
ES-AN;09-07-2020;42;4;0;0
ES-AR;09-07-2020;64;3;0;0
ES-AS;09-07-2020;1;1;0;0
ES-CL;09-07-2020;9;2;0;0
ES-CM;09-07-2020;22;5;0;0
ES-CN;09-07-2020;5;2;0;0
ES-CT;09-07-2020;491;14;1;1
ES-EX;09-07-2020;26;0;0;0
ES-GA;09-07-2020;33;1;1;0
ES-IB;09-07-2020;2;0;0;0
ES-MC;09-07-2020;5;0;0;0
ES-MD;09-07-2020;43;3;0;1
ES-NC;09-07-2020;26;2;0;0
ES-PV;09-07-2020;30;2;1;0
ES-RI;09-07-2020;1;0;0;0
ES-VC;09-07-2020;27;1;0;0
ES-AN;10-07-2020;51;2;0;0
ES-AR;10-07-2020;64;5;2;0
ES-CB;10-07-2020;1;0;0;0
ES-CL;10-07-2020;16;3;0;1
ES-CM;10-07-2020;20;5;0;2
ES-CN;10-07-2020;2;2;1;0
ES-CT;10-07-2020;716;13;1;1
ES-EX;10-07-2020;47;0;0;0
ES-GA;10-07-2020;7;2;0;0
ES-IB;10-07-2020;10;0;0;0
ES-MC;10-07-2020;9;0;0;0
ES-MD;10-07-2020;69;3;0;0
ES-NC;10-07-2020;28;0;0;0
ES-PV;10-07-2020;37;1;0;0
ES-RI;10-07-2020;15;0;0;0
ES-VC;10-07-2020;22;7;1;0
ES-AN;11-07-2020;43;3;1;0
ES-AR;11-07-2020;116;3;1;0
ES-CB;11-07-2020;1;0;0;0
ES-CL;11-07-2020;13;1;0;1
ES-CM;11-07-2020;11;4;0;0
ES-CN;11-07-2020;1;2;0;0
ES-CT;11-07-2020;252;11;0;2
ES-EX;11-07-2020;22;2;0;0
ES-GA;11-07-2020;8;1;0;0
ES-IB;11-07-2020;4;0;0;1
ES-MC;11-07-2020;19;1;0;0
ES-MD;11-07-2020;20;3;0;0
ES-NC;11-07-2020;35;0;0;0
ES-PV;11-07-2020;39;2;0;0
ES-RI;11-07-2020;3;0;0;0
ES-VC;11-07-2020;26;3;1;0
ES-AN;12-07-2020;20;2;0;0
ES-AR;12-07-2020;35;6;0;0
ES-CB;12-07-2020;4;1;0;0
ES-CL;12-07-2020;7;2;0;0
ES-CM;12-07-2020;6;1;0;1
ES-CN;12-07-2020;1;1;1;0
ES-CT;12-07-2020;208;7;1;1
ES-EX;12-07-2020;14;0;1;0
ES-GA;12-07-2020;6;1;0;0
ES-IB;12-07-2020;5;0;0;0
ES-MC;12-07-2020;9;1;0;0
ES-MD;12-07-2020;12;4;0;0
ES-NC;12-07-2020;10;0;0;0
ES-PV;12-07-2020;28;1;0;1
ES-RI;12-07-2020;3;1;0;0
ES-VC;12-07-2020;14;3;0;0
ES-AN;13-07-2020;30;5;1;0
ES-AR;13-07-2020;91;13;1;0
ES-AS;13-07-2020;5;0;0;0
ES-CL;13-07-2020;18;2;0;0
ES-CM;13-07-2020;17;6;0;0
ES-CN;13-07-2020;5;2;1;0
ES-CT;13-07-2020;536;15;2;0
ES-EX;13-07-2020;10;1;0;0
ES-GA;13-07-2020;4;0;0;0
ES-IB;13-07-2020;1;1;0;0
ES-MC;13-07-2020;4;0;0;0
ES-MD;13-07-2020;51;4;0;1
ES-ML;13-07-2020;0;1;0;0
ES-NC;13-07-2020;15;0;0;0
ES-PV;13-07-2020;37;2;0;0
ES-RI;13-07-2020;2;1;0;0
ES-VC;13-07-2020;15;1;0;0
ES-AN;14-07-2020;85;6;1;1
ES-AR;14-07-2020;172;14;0;0
ES-CB;14-07-2020;3;0;0;0
ES-CE;14-07-2020;1;0;0;0
ES-CL;14-07-2020;17;1;0;0
ES-CM;14-07-2020;28;6;1;0
ES-CN;14-07-2020;5;2;0;0
ES-CT;14-07-2020;698;13;0;0
ES-EX;14-07-2020;6;0;0;0
ES-GA;14-07-2020;10;1;0;0
ES-IB;14-07-2020;5;1;0;0
ES-MC;14-07-2020;4;0;0;0
ES-MD;14-07-2020;94;9;1;0
ES-ML;14-07-2020;2;0;0;0
ES-NC;14-07-2020;18;0;0;0
ES-PV;14-07-2020;63;3;0;1
ES-RI;14-07-2020;4;0;0;0
ES-VC;14-07-2020;26;3;0;0
ES-AN;15-07-2020;47;0;0;0
ES-AR;15-07-2020;266;10;1;0
ES-CB;15-07-2020;2;2;0;0
ES-CL;15-07-2020;16;0;0;1
ES-CM;15-07-2020;24;5;0;2
ES-CN;15-07-2020;13;1;0;0
ES-CT;15-07-2020;880;22;1;0
ES-EX;15-07-2020;10;1;0;0
ES-GA;15-07-2020;11;4;0;0
ES-IB;15-07-2020;13;1;0;0
ES-MC;15-07-2020;5;1;0;0
ES-MD;15-07-2020;75;2;0;1
ES-NC;15-07-2020;49;1;0;1
ES-PV;15-07-2020;64;2;0;0
ES-RI;15-07-2020;1;0;0;0
ES-VC;15-07-2020;55;5;0;0
ES-AN;16-07-2020;78;3;0;1
ES-AR;16-07-2020;252;16;1;0
ES-CB;16-07-2020;1;1;0;0
ES-CL;16-07-2020;21;3;0;0
ES-CM;16-07-2020;14;2;0;0
ES-CN;16-07-2020;3;1;0;0
ES-CT;16-07-2020;851;16;0;0
ES-EX;16-07-2020;26;1;0;0
ES-GA;16-07-2020;15;1;0;0
ES-IB;16-07-2020;13;1;0;0
ES-MC;16-07-2020;19;4;1;0
ES-MD;16-07-2020;93;4;0;0
ES-ML;16-07-2020;1;0;0;0
ES-NC;16-07-2020;54;1;0;0
ES-PV;16-07-2020;76;1;0;0
ES-RI;16-07-2020;2;0;0;0
ES-VC;16-07-2020;63;4;0;0
ES-AN;17-07-2020;114;4;0;0
ES-AR;17-07-2020;301;24;1;0
ES-AS;17-07-2020;1;0;0;0
ES-CB;17-07-2020;2;0;0;0
ES-CL;17-07-2020;18;0;0;0
ES-CM;17-07-2020;20;4;0;0
ES-CN;17-07-2020;9;1;0;0
ES-CT;17-07-2020;1077;16;4;1
ES-EX;17-07-2020;7;0;0;0
ES-GA;17-07-2020;8;2;0;0
ES-IB;17-07-2020;6;0;0;1
ES-MC;17-07-2020;23;1;0;0
ES-MD;17-07-2020;189;6;0;0
ES-NC;17-07-2020;57;1;0;0
ES-PV;17-07-2020;124;7;0;0
ES-RI;17-07-2020;8;0;0;0
ES-VC;17-07-2020;74;7;0;0
ES-AN;18-07-2020;104;4;0;0
ES-AR;18-07-2020;258;11;1;0
ES-AS;18-07-2020;1;0;0;0
ES-CB;18-07-2020;8;0;0;0
ES-CL;18-07-2020;15;2;0;0
ES-CM;18-07-2020;12;0;0;0
ES-CN;18-07-2020;12;1;0;0
ES-CT;18-07-2020;629;10;1;2
ES-EX;18-07-2020;6;1;0;0
ES-GA;18-07-2020;4;0;0;0
ES-IB;18-07-2020;6;0;0;0
ES-MC;18-07-2020;15;0;0;0
ES-MD;18-07-2020;47;7;0;0
ES-NC;18-07-2020;61;1;0;0
ES-PV;18-07-2020;221;4;0;1
ES-RI;18-07-2020;3;0;0;0
ES-VC;18-07-2020;95;2;0;0
ES-AN;19-07-2020;88;3;0;0
ES-AR;19-07-2020;301;12;1;1
ES-AS;19-07-2020;1;0;0;0
ES-CB;19-07-2020;12;0;0;0
ES-CL;19-07-2020;13;4;1;1
ES-CM;19-07-2020;6;2;0;0
ES-CN;19-07-2020;47;1;0;0
ES-CT;19-07-2020;400;23;1;1
ES-EX;19-07-2020;6;0;0;0
ES-GA;19-07-2020;6;0;0;0
ES-IB;19-07-2020;4;1;0;0
ES-MC;19-07-2020;29;2;0;0
ES-MD;19-07-2020;23;9;0;1
ES-NC;19-07-2020;30;0;0;0
ES-PV;19-07-2020;120;0;0;0
ES-VC;19-07-2020;66;6;0;1
ES-AN;20-07-2020;98;9;1;0
ES-AR;20-07-2020;199;20;0;1
ES-AS;20-07-2020;2;0;0;0
ES-CB;20-07-2020;2;1;0;0
ES-CL;20-07-2020;35;7;1;0
ES-CM;20-07-2020;12;1;2;1
ES-CN;20-07-2020;2;3;0;0
ES-CT;20-07-2020;848;14;1;3
ES-EX;20-07-2020;10;0;0;0
ES-GA;20-07-2020;9;0;0;0
ES-IB;20-07-2020;6;1;0;0
ES-MC;20-07-2020;12;1;0;0
ES-MD;20-07-2020;81;3;1;1
ES-NC;20-07-2020;84;1;0;0
ES-PV;20-07-2020;101;5;1;0
ES-RI;20-07-2020;6;0;0;0
ES-VC;20-07-2020;58;9;0;0
ES-AN;21-07-2020;56;5;0;0
ES-AR;21-07-2020;320;21;1;1
ES-AS;21-07-2020;1;2;0;0
ES-CB;21-07-2020;1;0;1;0
ES-CL;21-07-2020;19;5;0;0
ES-CM;21-07-2020;23;1;0;0
ES-CN;21-07-2020;11;0;0;0
ES-CT;21-07-2020;1232;17;0;5
ES-EX;21-07-2020;17;1;1;0
ES-GA;21-07-2020;17;2;1;0
ES-IB;21-07-2020;6;1;0;0
ES-MC;21-07-2020;31;0;0;0
ES-MD;21-07-2020;181;5;0;1
ES-NC;21-07-2020;126;1;0;0
ES-PV;21-07-2020;132;4;0;0
ES-RI;21-07-2020;26;0;0;0
ES-VC;21-07-2020;111;6;1;0
ES-AN;22-07-2020;81;6;0;0
ES-AR;22-07-2020;419;28;2;0
ES-AS;22-07-2020;4;0;0;0
ES-CB;22-07-2020;4;1;0;0
ES-CL;22-07-2020;18;2;1;0
ES-CM;22-07-2020;34;0;0;0
ES-CN;22-07-2020;6;1;1;0
ES-CT;22-07-2020;1155;18;4;2
ES-EX;22-07-2020;6;1;0;0
ES-GA;22-07-2020;11;3;0;0
ES-IB;22-07-2020;4;1;0;0
ES-MC;22-07-2020;72;0;0;0
ES-MD;22-07-2020;169;11;0;1
ES-NC;22-07-2020;66;4;0;0
ES-PV;22-07-2020;145;12;0;0
ES-RI;22-07-2020;12;1;0;0
ES-VC;22-07-2020;113;11;0;0
ES-AN;23-07-2020;109;8;0;0
ES-AR;23-07-2020;321;26;1;0
ES-AS;23-07-2020;2;0;0;0
ES-CB;23-07-2020;9;0;0;0
ES-CL;23-07-2020;46;4;0;0
ES-CM;23-07-2020;23;2;0;0
ES-CN;23-07-2020;8;2;0;0
ES-CT;23-07-2020;1140;23;1;2
ES-EX;23-07-2020;5;1;0;0
ES-GA;23-07-2020;21;4;0;0
ES-IB;23-07-2020;26;1;0;0
ES-MC;23-07-2020;71;2;0;0
ES-MD;23-07-2020;207;7;0;0
ES-NC;23-07-2020;94;3;0;0
ES-PV;23-07-2020;131;2;0;0
ES-RI;23-07-2020;2;0;0;0
ES-VC;23-07-2020;127;6;0;0
ES-AN;24-07-2020;133;6;0;2
ES-AR;24-07-2020;495;32;1;0
ES-AS;24-07-2020;1;0;0;0
ES-CB;24-07-2020;6;0;0;0
ES-CL;24-07-2020;30;0;0;1
ES-CM;24-07-2020;33;1;1;0
ES-CN;24-07-2020;11;1;0;0
ES-CT;24-07-2020;1164;15;1;3
ES-EX;24-07-2020;10;3;0;0
ES-GA;24-07-2020;29;1;1;0
ES-IB;24-07-2020;32;2;0;0
ES-MC;24-07-2020;67;3;0;0
ES-MD;24-07-2020;436;8;0;1
ES-NC;24-07-2020;63;1;0;0
ES-PV;24-07-2020;133;6;2;0
ES-RI;24-07-2020;13;0;0;0
ES-VC;24-07-2020;159;4;0;0
ES-AN;25-07-2020;101;8;1;1
ES-AR;25-07-2020;318;31;0;2
ES-AS;25-07-2020;6;0;0;0
ES-CB;25-07-2020;6;0;0;0
ES-CL;25-07-2020;19;2;0;0
ES-CM;25-07-2020;35;0;0;0
ES-CN;25-07-2020;18;1;0;0
ES-CT;25-07-2020;505;17;0;6
ES-EX;25-07-2020;1;1;0;0
ES-GA;25-07-2020;22;1;0;0
ES-IB;25-07-2020;23;0;1;0
ES-MC;25-07-2020;75;1;0;0
ES-MD;25-07-2020;171;9;0;0
ES-NC;25-07-2020;81;5;0;0
ES-PV;25-07-2020;177;2;0;0
ES-VC;25-07-2020;155;10;1;0
ES-AN;26-07-2020;62;2;2;0
ES-AR;26-07-2020;433;30;3;2
ES-AS;26-07-2020;5;1;0;0
ES-CB;26-07-2020;5;0;0;0
ES-CL;26-07-2020;5;4;0;0
ES-CM;26-07-2020;13;1;0;0
ES-CN;26-07-2020;1;1;0;0
ES-CT;26-07-2020;457;20;1;5
ES-EX;26-07-2020;3;0;0;0
ES-GA;26-07-2020;7;0;0;0
ES-IB;26-07-2020;37;2;0;0
ES-MC;26-07-2020;43;4;0;0
ES-MD;26-07-2020;77;10;0;0
ES-NC;26-07-2020;94;0;0;0
ES-PV;26-07-2020;87;4;0;0
ES-VC;26-07-2020;58;7;0;0
ES-AN;27-07-2020;88;9;1;0
ES-AR;27-07-2020;410;55;2;0
ES-AS;27-07-2020;2;0;0;0
ES-CB;27-07-2020;11;2;0;0
ES-CL;27-07-2020;48;6;1;0
ES-CM;27-07-2020;16;2;0;1
ES-CN;27-07-2020;5;2;0;0
ES-CT;27-07-2020;847;27;5;7
ES-EX;27-07-2020;6;2;0;0
ES-GA;27-07-2020;9;0;0;0
ES-IB;27-07-2020;20;1;1;0
ES-MC;27-07-2020;34;1;0;0
ES-MD;27-07-2020;245;11;1;0
ES-NC;27-07-2020;41;2;0;0
ES-PV;27-07-2020;135;7;1;0
ES-RI;27-07-2020;3;0;0;0
ES-VC;27-07-2020;116;16;1;0
ES-AN;28-07-2020;109;6;1;0
ES-AR;28-07-2020;486;42;2;8
ES-AS;28-07-2020;13;0;0;0
ES-CB;28-07-2020;1;0;0;0
ES-CE;28-07-2020;1;1;0;0
ES-CL;28-07-2020;53;2;0;0
ES-CM;28-07-2020;39;3;1;0
ES-CN;28-07-2020;6;1;0;0
ES-CT;28-07-2020;1275;26;1;1
ES-EX;28-07-2020;23;1;2;0
ES-GA;28-07-2020;20;2;0;0
ES-IB;28-07-2020;31;3;0;0
ES-MC;28-07-2020;53;5;0;0
ES-MD;28-07-2020;451;14;1;0
ES-NC;28-07-2020;37;4;0;0
ES-PV;28-07-2020;132;5;0;0
ES-RI;28-07-2020;5;0;0;0
ES-VC;28-07-2020;156;4;0;3
ES-AN;29-07-2020;151;11;0;0
ES-AR;29-07-2020;390;39;2;3
ES-AS;29-07-2020;14;0;0;0
ES-CB;29-07-2020;6;0;0;0
ES-CE;29-07-2020;1;0;0;0
ES-CL;29-07-2020;60;3;0;0
ES-CM;29-07-2020;47;0;0;0
ES-CN;29-07-2020;5;2;0;0
ES-CT;29-07-2020;1332;29;0;2
ES-EX;29-07-2020;8;1;0;1
ES-GA;29-07-2020;21;2;0;0
ES-IB;29-07-2020;36;4;0;0
ES-MC;29-07-2020;95;3;1;0
ES-MD;29-07-2020;451;19;1;0
ES-NC;29-07-2020;60;1;0;0
ES-PV;29-07-2020;202;9;1;0
ES-RI;29-07-2020;3;0;0;0
ES-VC;29-07-2020;235;8;2;1
ES-AN;30-07-2020;203;9;1;0
ES-AR;30-07-2020;551;39;1;3
ES-AS;30-07-2020;20;0;1;0
ES-CB;30-07-2020;14;5;0;0
ES-CL;30-07-2020;94;7;0;0
ES-CM;30-07-2020;30;1;0;1
ES-CN;30-07-2020;7;0;0;0
ES-CT;30-07-2020;1150;22;2;5
ES-EX;30-07-2020;22;0;0;0
ES-GA;30-07-2020;31;4;0;0
ES-IB;30-07-2020;58;2;0;0
ES-MC;30-07-2020;66;5;0;0
ES-MD;30-07-2020;624;14;2;2
ES-ML;30-07-2020;3;0;0;0
ES-NC;30-07-2020;49;8;0;0
ES-PV;30-07-2020;185;11;1;1
ES-RI;30-07-2020;5;0;0;0
ES-VC;30-07-2020;262;14;1;0
ES-AN;31-07-2020;246;9;1;0
ES-AR;31-07-2020;558;49;0;6
ES-AS;31-07-2020;15;0;0;0
ES-CB;31-07-2020;17;0;0;0
ES-CL;31-07-2020;165;7;0;0
ES-CM;31-07-2020;45;0;0;1
ES-CN;31-07-2020;12;1;0;0
ES-CT;31-07-2020;1247;33;3;5
ES-EX;31-07-2020;44;0;0;0
ES-GA;31-07-2020;39;1;0;0
ES-IB;31-07-2020;83;4;0;0
ES-MC;31-07-2020;53;1;1;0
ES-MD;31-07-2020;794;16;0;1
ES-ML;31-07-2020;4;0;0;0
ES-NC;31-07-2020;51;5;2;0
ES-PV;31-07-2020;202;5;0;1
ES-RI;31-07-2020;8;1;0;0
ES-VC;31-07-2020;224;11;2;0
ES-AN;01-08-2020;193;13;1;0
ES-AR;01-08-2020;1098;56;2;2
ES-AS;01-08-2020;15;0;0;0
ES-CB;01-08-2020;24;4;1;0
ES-CL;01-08-2020;62;7;0;1
ES-CM;01-08-2020;50;2;0;0
ES-CN;01-08-2020;25;2;0;0
ES-CT;01-08-2020;573;26;8;4
ES-EX;01-08-2020;16;0;1;0
ES-GA;01-08-2020;25;1;0;0
ES-IB;01-08-2020;61;3;0;0
ES-MC;01-08-2020;77;4;0;0
ES-MD;01-08-2020;271;13;0;0
ES-ML;01-08-2020;3;0;0;0
ES-NC;01-08-2020;79;2;0;0
ES-PV;01-08-2020;200;9;0;1
ES-VC;01-08-2020;217;18;0;0
ES-AN;02-08-2020;163;17;1;1
ES-AR;02-08-2020;524;25;3;3
ES-AS;02-08-2020;8;0;0;0
ES-CB;02-08-2020;22;3;1;0
ES-CL;02-08-2020;49;4;0;0
ES-CM;02-08-2020;36;4;1;1
ES-CN;02-08-2020;24;0;0;0
ES-CT;02-08-2020;339;23;3;3
ES-EX;02-08-2020;15;1;0;0
ES-GA;02-08-2020;29;1;1;0
ES-IB;02-08-2020;46;0;0;0
ES-MC;02-08-2020;45;8;1;0
ES-MD;02-08-2020;181;18;1;3
ES-NC;02-08-2020;76;2;0;0
ES-PV;02-08-2020;153;10;2;1
ES-RI;02-08-2020;0;2;0;0
ES-VC;02-08-2020;115;21;2;1
ES-AN;03-08-2020;193;14;1;1
ES-AR;03-08-2020;421;46;3;6
ES-AS;03-08-2020;6;0;0;0
ES-CB;03-08-2020;35;1;0;0
ES-CL;03-08-2020;58;9;1;1
ES-CM;03-08-2020;44;1;0;1
ES-CN;03-08-2020;15;2;0;0
ES-CT;03-08-2020;852;23;4;2
ES-EX;03-08-2020;7;1;0;0
ES-GA;03-08-2020;29;3;0;0
ES-IB;03-08-2020;93;3;0;0
ES-MC;03-08-2020;39;7;2;0
ES-MD;03-08-2020;415;37;1;1
ES-ML;03-08-2020;1;0;0;0
ES-NC;03-08-2020;57;2;0;0
ES-PV;03-08-2020;211;10;0;0
ES-RI;03-08-2020;7;1;0;0
ES-VC;03-08-2020;210;22;1;0
ES-AN;04-08-2020;237;19;3;0
ES-AR;04-08-2020;606;45;2;9
ES-AS;04-08-2020;14;0;0;0
ES-CB;04-08-2020;37;1;0;0
ES-CL;04-08-2020;189;7;0;0
ES-CM;04-08-2020;63;4;0;0
ES-CN;04-08-2020;17;6;1;0
ES-CT;04-08-2020;1149;26;1;4
ES-EX;04-08-2020;20;1;0;0
ES-GA;04-08-2020;39;2;0;0
ES-IB;04-08-2020;141;2;0;0
ES-MC;04-08-2020;93;5;2;0
ES-MD;04-08-2020;1086;25;1;1
ES-ML;04-08-2020;4;0;0;0
ES-NC;04-08-2020;67;1;0;0
ES-PV;04-08-2020;239;9;0;1
ES-RI;04-08-2020;3;0;0;0
ES-VC;04-08-2020;349;16;1;1
ES-AN;05-08-2020;329;18;2;1
ES-AR;05-08-2020;372;47;1;4
ES-AS;05-08-2020;34;0;0;0
ES-CB;05-08-2020;18;4;0;0
ES-CL;05-08-2020;242;8;0;0
ES-CM;05-08-2020;73;6;0;0
ES-CN;05-08-2020;30;2;0;0
ES-CT;05-08-2020;1060;31;4;4
ES-EX;05-08-2020;38;1;0;0
ES-GA;05-08-2020;46;2;0;0
ES-IB;05-08-2020;118;2;1;0
ES-MC;05-08-2020;76;9;0;0
ES-MD;05-08-2020;1008;33;1;2
ES-ML;05-08-2020;4;1;0;0
ES-NC;05-08-2020;80;3;1;0
ES-PV;05-08-2020;335;10;0;0
ES-RI;05-08-2020;7;0;0;0
ES-VC;05-08-2020;359;16;4;0
ES-AN;06-08-2020;324;16;2;2
ES-AR;06-08-2020;620;50;1;8
ES-AS;06-08-2020;28;1;0;0
ES-CB;06-08-2020;30;1;0;1
ES-CL;06-08-2020;153;10;1;1
ES-CM;06-08-2020;91;4;0;2
ES-CN;06-08-2020;58;4;0;0
ES-CT;06-08-2020;1071;30;1;6
ES-EX;06-08-2020;33;1;0;1
ES-GA;06-08-2020;80;9;0;0
ES-IB;06-08-2020;172;2;1;1
ES-MC;06-08-2020;83;4;3;0
ES-MD;06-08-2020;1162;29;1;0
ES-ML;06-08-2020;2;1;0;0
ES-NC;06-08-2020;106;4;2;0
ES-PV;06-08-2020;423;20;2;1
ES-RI;06-08-2020;14;1;0;0
ES-VC;06-08-2020;325;30;1;2
ES-AN;07-08-2020;364;14;3;1
ES-AR;07-08-2020;617;41;4;9
ES-AS;07-08-2020;25;0;0;0
ES-CB;07-08-2020;32;4;0;0
ES-CE;07-08-2020;1;0;0;0
ES-CL;07-08-2020;298;16;0;0
ES-CM;07-08-2020;111;5;0;0
ES-CN;07-08-2020;53;2;0;1
ES-CT;07-08-2020;1203;22;2;3
ES-EX;07-08-2020;48;0;0;0
ES-GA;07-08-2020;99;6;1;1
ES-IB;07-08-2020;207;4;1;0
ES-MC;07-08-2020;102;9;2;0
ES-MD;07-08-2020;1588;30;1;4
ES-ML;07-08-2020;6;0;0;0
ES-NC;07-08-2020;100;2;0;1
ES-PV;07-08-2020;393;24;3;1
ES-RI;07-08-2020;14;0;0;0
ES-VC;07-08-2020;307;19;1;0
ES-AN;08-08-2020;346;18;0;2
ES-AR;08-08-2020;634;31;3;17
ES-AS;08-08-2020;25;1;0;0
ES-CB;08-08-2020;32;6;0;0
ES-CE;08-08-2020;1;0;0;0
ES-CL;08-08-2020;180;8;0;1
ES-CM;08-08-2020;113;0;1;1
ES-CN;08-08-2020;52;3;0;1
ES-CT;08-08-2020;545;31;1;1
ES-EX;08-08-2020;14;1;0;0
ES-GA;08-08-2020;81;1;0;0
ES-IB;08-08-2020;169;8;0;0
ES-MC;08-08-2020;77;8;0;0
ES-MD;08-08-2020;518;37;2;4
ES-NC;08-08-2020;87;2;0;0
ES-PV;08-08-2020;327;17;1;2
ES-RI;08-08-2020;9;0;0;0
ES-VC;08-08-2020;289;27;1;1
ES-AN;09-08-2020;258;14;3;0
ES-AR;09-08-2020;321;29;2;5
ES-AS;09-08-2020;16;0;0;0
ES-CB;09-08-2020;29;0;0;0
ES-CL;09-08-2020;241;8;0;1
ES-CM;09-08-2020;66;2;1;0
ES-CN;09-08-2020;49;3;0;0
ES-CT;09-08-2020;367;22;1;5
ES-EX;09-08-2020;8;1;0;0
ES-GA;09-08-2020;75;5;0;2
ES-IB;09-08-2020;97;2;0;0
ES-MC;09-08-2020;41;7;1;0
ES-MD;09-08-2020;350;34;0;1
ES-ML;09-08-2020;5;1;0;0
ES-NC;09-08-2020;135;7;0;0
ES-PV;09-08-2020;351;11;0;1
ES-RI;09-08-2020;13;2;0;0
ES-VC;09-08-2020;176;22;0;1
ES-AN;10-08-2020;264;21;2;0
ES-AR;10-08-2020;462;35;1;9
ES-AS;10-08-2020;14;2;0;0
ES-CB;10-08-2020;13;1;0;1
ES-CE;10-08-2020;1;1;0;0
ES-CL;10-08-2020;163;13;0;0
ES-CM;10-08-2020;101;4;0;0
ES-CN;10-08-2020;88;5;0;0
ES-CT;10-08-2020;991;44;5;6
ES-EX;10-08-2020;12;0;0;0
ES-GA;10-08-2020;83;12;0;0
ES-IB;10-08-2020;239;8;0;0
ES-MC;10-08-2020;43;2;1;0
ES-MD;10-08-2020;691;62;1;5
ES-ML;10-08-2020;12;0;0;0
ES-NC;10-08-2020;40;6;2;1
ES-PV;10-08-2020;277;24;1;1
ES-RI;10-08-2020;31;0;0;0
ES-VC;10-08-2020;290;33;1;1
ES-AN;11-08-2020;464;24;5;1
ES-AR;11-08-2020;324;33;1;13
ES-AS;11-08-2020;21;1;0;0
ES-CB;11-08-2020;65;0;1;1
ES-CL;11-08-2020;217;14;0;1
ES-CM;11-08-2020;143;3;0;1
ES-CN;11-08-2020;67;6;0;0
ES-CT;11-08-2020;1124;30;5;3
ES-EX;11-08-2020;39;3;0;1
ES-GA;11-08-2020;119;3;1;0
ES-IB;11-08-2020;205;7;1;0
ES-MC;11-08-2020;122;6;0;1
ES-MD;11-08-2020;2112;61;2;4
ES-ML;11-08-2020;6;0;0;0
ES-NC;11-08-2020;157;6;0;0
ES-PV;11-08-2020;396;23;0;2
ES-RI;11-08-2020;34;0;0;0
ES-VC;11-08-2020;345;25;2;0
ES-AN;12-08-2020;565;19;3;1
ES-AR;12-08-2020;436;49;1;13
ES-AS;12-08-2020;27;0;0;0
ES-CB;12-08-2020;46;2;0;0
ES-CE;12-08-2020;1;0;0;0
ES-CL;12-08-2020;277;11;0;1
ES-CM;12-08-2020;159;7;0;1
ES-CN;12-08-2020;105;10;1;0
ES-CT;12-08-2020;1119;28;2;3
ES-EX;12-08-2020;59;3;1;0
ES-GA;12-08-2020;119;11;0;0
ES-IB;12-08-2020;238;9;0;0
ES-MC;12-08-2020;116;6;2;0
ES-MD;12-08-2020;1936;51;3;4
ES-ML;12-08-2020;2;0;0;0
ES-NC;12-08-2020;81;2;1;1
ES-PV;12-08-2020;552;32;2;1
ES-RI;12-08-2020;41;1;0;0
ES-VC;12-08-2020;447;32;3;1
ES-AN;13-08-2020;600;41;1;1
ES-AR;13-08-2020;497;45;3;6
ES-AS;13-08-2020;22;0;0;0
ES-CB;13-08-2020;61;5;0;0
ES-CE;13-08-2020;2;1;0;0
ES-CL;13-08-2020;323;12;2;1
ES-CM;13-08-2020;223;2;0;0
ES-CN;13-08-2020;109;6;0;0
ES-CT;13-08-2020;1103;23;0;5
ES-EX;13-08-2020;73;7;0;0
ES-GA;13-08-2020;145;5;2;1
ES-IB;13-08-2020;343;5;1;0
ES-MC;13-08-2020;143;10;2;0
ES-MD;13-08-2020;2146;53;3;7
ES-ML;13-08-2020;5;0;0;0
ES-NC;13-08-2020;108;9;1;0
ES-PV;13-08-2020;493;34;5;0
ES-RI;13-08-2020;53;0;0;0
ES-VC;13-08-2020;478;31;3;2
ES-AN;14-08-2020;694;22;3;0
ES-AR;14-08-2020;585;40;1;11
ES-AS;14-08-2020;33;1;0;0
ES-CB;14-08-2020;74;3;0;0
